"category","total"
"grand_total_t_10m2",2402377911.23587
"building_commercial_industrial",261506344.746384
"building_commercial_innercity",17722764.4211006
"building_highrise",3287512.48244476
"building_lightweight",80287638.5232868
"building_multifamily",97126155.5952301
"building_singlefamily",719676708.050125
"building_skyscraper",1114035.37744141
"building",1180721677.75406
"other_airport",18047300.6337891
"other_parking",14357272.8450356
"other_remaining_impervious",174637023.764923
"other",207041536.560764
"rail_bridge",1348873.51138306
"rail_other",248735.338432312
"rail_railway",60629172.7241211
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",63049260.074646
"rail_tram",0
"rail_tunnel",822617.345825195
"street_bridge_motorway",5675073.71518707
"street_bridge_other",5624247.62564087
"street_local",398095759.746483
"street_motorway_elevated",1514149.03217506
"street_motorway",147166872.715332
"street_other_elevated",1186194.25912476
"street_primary",102750959.848511
"street_secondary",72213403.1685791
"street_tertiary",214634359.688644
"street",951566314.650597
"street_track",1668016.850003
"street_tunnel",1037520.3283844
