"category";"total"
"grand_total_t_10m2";1213743911,41728
"building_commercial_industrial";179490107,204052
"building_commercial_innercity";5759540,25048637
"building_highrise";1497569,72222519
"building_lightweight";30954948,7858477
"building_multifamily";5317868,86943245
"building_singlefamily";289292779,653948
"building_skyscraper";1272811,375
"building";513584797,297359
"other_airport";14857330,7629395
"other_parking";23875418,6144485
"other_remaining_impervious";149785856,716549
"other";188518470,01202
"rail_bridge";321231,561991692
"rail_other";435519,689317703
"rail_railway";34822178,5010681
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";35998768,2103138
"rail_tram";13947,9130859375
"rail_tunnel";405891,540039062
"street_bridge_motorway";3440915,04882812
"street_bridge_other";1688913,53887939
"street_local";215597765,474833
"street_motorway_elevated";917245,573730469
"street_motorway";109816833,617432
"street_other_elevated";356204,063688278
"street_primary";11831369,6015625
"street_secondary";46388940,7788696
"street_tertiary";43074618,0384521
"street";475643949,24434
"street_track";41868066,9998784
"street_tunnel";663149,683609009
