"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1012458274.10034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",83591445.750288,22337331.0974031,34.5212347220476,743523.306489108,0,2530465.26798777,29343.0522947835,263508.263034442,0,50582439.2743284,10290.6668883376,1712921.34914568,140952.098522164,5191493.79366221,0,49157.1524682397
"building_commercial_innercity",8507440.6637764,479289.787590504,15942.1774464212,83843.0203361213,8801.89343701303,972658.26270771,31655.7869761735,1233.82796523627,1807469.12838793,4206727.25173092,55.484100491507,28967.217248477,13629.0920710526,319111.200105906,122616.083295763,415441.207411885
"building_highrise",2658937.58203125,50254.721906662,1230.96767184138,667.144533514977,0,198349.789104462,5290.81903457642,7611.22177958488,0,2188171.27947998,0,6121.87393939495,2226.80299991369,166958.545204163,3723.48358404636,28330.9256429672
"building_lightweight",17171197.3344812,0,301099.675533526,480660.048627332,0,2221375.63946071,0,0,0,10638548.7985873,0,165432.057807468,103809.336942686,1575933.6003617,0,1684339.46752888
"building_multifamily",48743388.5010986,2746091.89484787,91340.75243783,480378.654906988,50430.4502139091,5572848.68333054,181371.907243252,7069.22300481796,10355900.9077988,24102454.2486572,317.896305446979,165967.766046286,78087.9524998665,1828348.55862617,702529.211844444,2380271.30102158
"building_singlefamily",271921497.243454,41903383.0229807,4483414.23441392,6858479.00875139,1573.58719199779,41051688.2330599,740605.744539618,544308.995472586,17818787.0826902,127479297.213137,60589.0845659105,1888844.72761256,1305563.34435168,3398277.55196252,9378688.47696757,15008069.1056123
"building_skyscraper",111065.7421875,0,0,71.7936477661133,0,2967.47094726562,646.142822265625,0,0,94273.03125,0,2943.5400390625,0,10163.765625,0,0
"building",432705045.582817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",5847424.15551758,4755683.48974609,0,0,0,0,0,59058.9509773254,0,1032682.27108765,0,0,0,0,0,0
"other_parking",6639695.28343964,6507922.49110699,0,0,0,0,0,131771.409275457,0,0,0,0,0,0,0,0
"other_remaining_impervious",78823387.6814823,77259016.5050659,0,0,0,0,0,1564328.92445007,0,0,0,0,0,0,0,0
"other",91310513.8994007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1096158.72805786,0,0,0,0,0,0,0,0,83717.9690074921,0,0,0,1012440.74468994,0,0
"rail_other",612057.530853271,39790.165643692,0,0,0,0,0,0,0,554219.782417297,994.753859147429,0,0,17052.9011223316,0,0
"rail_railway",47124296.1864624,44531832.892395,0,0,0,0,0,0,0,277543.751934528,0,0,0,951507.45294857,0,1363426.64768505
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",42771.5859375,2780.60083007812,0,0,0,0,0,0,0,38729.80078125,69.5149917602539,0,0,1191.68640136719,0,0
"rail_tunnel",1919978.15429688,0,0,0,0,0,0,0,0,1850224.59179688,0,0,0,69753.4713020325,0,0
"rail",50795261.4344482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",4506634.98217773,0,0,0,0,0,0,0,0,4187826.79394531,0,0,0,318809.149688721,0,0
"street_bridge_other",3740924.40189362,0,0,0,0,0,0,0,0,3385347.29918289,0,0,0,355577.08263731,0,0
"street_local",231242817.213196,223842031.234116,0,0,0,0,0,2600820.40254664,0,4800037.40480399,0,0,0,0,0,0
"street_motorway",60792071.6948166,49441888.7117691,0,0,0,0,0,613999.640706539,0,10736163.0790291,0,0,0,0,0,0
"street_motorway_elevated",1198494.8031311,1138570.14074707,0,0,0,0,0,59924.7356777191,0,0,0,0,0,0,0,0
"street_other_elevated",788987.861811638,749538.499505997,0,0,0,0,0,39449.3962043524,0,0,0,0,0,0,0,0
"street_primary",28451594.1672363,24965221.0979004,0,0,0,0,0,394666.609985352,0,3091716.1713562,0,0,0,0,0,0
"street_secondary",48914663.9770737,44386534.1068726,0,0,0,0,0,694994.076219797,0,3833077.76236677,0,0,0,0,0,0
"street_tertiary",52626991.2670364,49303877.5309525,0,0,0,0,0,734237.916727364,0,2588866.1666429,0,0,0,0,0,0
"street_track",4675497.77678442,4643501.13287544,0,0,0,0,0,11243.730594011,0,20751.2753875814,0,0,0,0,0,0
"street_tunnel",708595.609725952,0,0,0,0,0,0,0,0,682852.074249268,0,0,0,25743.5246052742,0,0
"street",437647156.210876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
