"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2313567856.52956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",296051965.916649,79111078.9000645,122.262274719062,2633302.25542462,0,8962033.52815747,103922.936104756,933255.134404451,0,179145497.290863,36445.9783489853,6066574.2013216,499203.667668387,18386472.3069282,0,174097.630309328
"building_commercial_innercity",11877126.0616198,669129.976923704,22256.6620443799,117052.154716507,12288.206684934,1357915.15697241,44194.2246878333,1722.53076478327,2523383.32997012,5872957.00004911,77.4606173928551,40440.7500749566,19027.3943235613,445506.956647336,171182.703437448,579991.960469306
"building_highrise",1738820.7197876,32864.2396335602,804.995386689901,436.281316660345,0,129711.478116989,3459.94812327623,4977.38326483965,0,1430961.82121277,0,4003.41962385178,1456.22496900707,109183.081553459,2434.98444645107,18527.1010396481
"building_lightweight",44572324.9882659,0,781583.092322972,1247678.2744102,0,5766160.99243291,0,0,0,27615129.841155,0,429422.090637176,269464.247190414,4090746.56171887,0,4372143.77198772
"building_multifamily",27632102.8150444,1556729.13375115,51780.0532250628,272321.528009027,28588.4751555212,3159186.0075264,102817.720950663,4007.46290912339,5870644.10015154,13663420.9897966,180.211893599393,94085.2965827063,44267.1722256951,1036470.88284159,398256.099035561,1349349.61603403
"building_singlefamily",561605819.906559,113654709.839608,6982186.80570176,11580816.585939,0,62977592.2874914,1733959.86514157,248806.780572291,76228188.8321766,232728686.386703,184432.723902329,2884623.3833748,2308847.61431733,3968994.73827261,14357076.0893027,31766994.1059689
"building_skyscraper",982566.2421875,0,0,635.137580871582,0,26252.3525390625,5716.23748779297,0,0,834006.03125,0,26040.6398925781,0,89915.8525390625,0,0
"building",944460647.97566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",16109169.440918,13101516.8823242,0,0,0,0,0,162702.566131592,0,2844954.82470703,0,0,0,0,0,0
"other_parking",8095747.93315887,7935081.77044678,0,0,0,0,0,160668.297302365,0,0,0,0,0,0,0,0
"other_remaining_impervious",167846157.284668,164515046.528652,0,0,0,0,0,3331077.07562363,0,0,0,0,0,0,0,0
"other",192051103.147949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1774615.08880615,0,0,0,0,0,0,0,0,135534.370782852,0,0,0,1639080.89386749,0,0
"rail_other",125516.972064972,8159.90853738785,0,0,0,0,0,0,0,113655.963729858,203.998488664627,0,0,3497.10985195637,0,0
"rail_railway",84797243.4653625,80132189.5983582,0,0,0,0,0,0,0,499422.392879725,0,0,0,1712177.39610815,0,2453401.42124176
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",9874.7216796875,641.9599609375,0,0,0,0,0,0,0,8941.583984375,16.048999786377,0,0,275.125732421875,0,0
"rail_tunnel",36038.3199615479,0,0,0,0,0,0,0,0,34729.0360412598,0,0,0,1309.28465223312,0,0
"rail",86743288.6882019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",5874261.27001953,0,0,0,0,0,0,0,0,5458704.32226562,0,0,0,415558.057861328,0,0
"street_bridge_other",9265306.65515137,0,0,0,0,0,0,0,0,8384633.11709595,0,0,0,880673.221464157,0,0
"street_local",543586824.224125,526492113.432081,0,0,0,0,0,6007492.34312762,0,11087340.6510366,0,0,0,0,0,0
"street_motorway",141021832.172119,114692285.29834,0,0,0,0,0,1424320.20656204,0,24905138.5909424,0,0,0,0,0,0
"street_motorway_elevated",1570510.53826904,1491984.80725098,0,0,0,0,0,78525.5074577332,0,0,0,0,0,0,0,0
"street_other_elevated",1954120.22547913,1856413.96697617,0,0,0,0,0,97706.0055241585,0,0,0,0,0,0,0,0
"street_primary",59562432.0722656,52263808.8662109,0,0,0,0,0,826220.790771484,0,6472401.38049316,0,0,0,0,0,0
"street_secondary",127788477.190887,115958517.769287,0,0,0,0,0,1815628.88151217,0,10013753.1418343,0,0,0,0,0,0
"street_tertiary",197549949.187645,185075791.726854,0,0,0,0,0,2756168.5925763,0,9718048.56485626,0,0,0,0,0,0
"street_track",1732655.77924383,1721932.65276933,0,0,0,0,0,3770.05052661686,0,6957.95198406838,0,0,0,0,0,0
"street_tunnel",406864.48474884,0,0,0,0,0,0,0,0,392083.077285767,0,0,0,14781.5348320007,0,0
"street",1090312830.28339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
