"category","total"
"grand_total_t_10m2",1664497384.51263
"building_commercial_industrial",194451006.618898
"building_commercial_innercity",5775351.74723053
"building_highrise",331717.406066895
"building_lightweight",51283576.8718055
"building_multifamily",22281688.7305908
"building_singlefamily",373435889.690918
"building_skyscraper",891533.21875
"building",648450667.076372
"other_airport",14661549.9262085
"other_parking",7978080.68507385
"other_remaining_impervious",136778949.335705
"other",159418558.522778
"rail_bridge",960791.655075073
"rail_other",49727.3693695068
"rail_railway",47247374.8515701
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",48284627.5455246
"rail_tram",0
"rail_tunnel",26733.0689697266
"street_bridge_motorway",6400521.22021484
"street_bridge_other",6841221.92138672
"street_local",416397420.03565
"street_motorway_elevated",1705675.74914551
"street_motorway",103031585.379395
"street_other_elevated",1442863.23928833
"street_primary",101375214.786743
"street_secondary",68812108.6901398
"street_tertiary",92881298.7671154
"street",808343021.270195
"street_track",9375830.21044767
"street_tunnel",78937.7618713379
