"category","total"
"grand_total_t_10m2",3233300375.1734
"building_commercial_industrial",436785918.682858
"building_commercial_innercity",18921451.8613396
"building_highrise",3891528.0016098
"building_lightweight",95066354.5631125
"building_multifamily",110656371.436684
"building_singlefamily",976082634.565651
"building_skyscraper",2206412.75
"building",1643611040.02132
"other_airport",28716455.8681641
"other_parking",7760677.84590149
"other_remaining_impervious",253118408.323944
"other",289595441.691132
"rail_bridge",1554743.57475281
"rail_other",1126128.13171387
"rail_railway",68727820.0385742
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",71629778.9883881
"rail_tram",41471.5078125
"rail_tunnel",179617.149597168
"street_bridge_motorway",8337102.58349609
"street_bridge_other",7425409.3784256
"street_local",579935965.45417
"street_motorway_elevated",2226148.34655762
"street_motorway",164375052.174316
"street_other_elevated",1566072.35566902
"street_primary",46269674.6364746
"street_secondary",188949538.574493
"street_tertiary",220923344.202342
"street",1228462548.06375
"street_track",7734373.7417469
"street_tunnel",720047.969284058
