"category";"total"
"grand_total_t_10m2";2454790593,24697
"building_commercial_industrial";277187942,439831
"building_commercial_innercity";4858908,34753799
"building_highrise";1308260,08965683
"building_lightweight";72877276,0272169
"building_multifamily";15364959,9031715
"building_singlefamily";599105076,976514
"building_skyscraper";4018585,77246094
"building";974720817,605981
"other_airport";26639894,0009766
"other_parking";15016933,8771429
"other_remaining_impervious";233029282,569012
"other";274686023,231792
"rail_bridge";1327385,52389526
"rail_other";583834,239070892
"rail_railway";67001375,9066772
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";68996132,7686157
"rail_tram";44775,5278320312
"rail_tunnel";38766,9609375
"street_bridge_motorway";7188770,39978027
"street_bridge_other";7787042,78089714
"street_local";706520363,137463
"street_motorway_elevated";1917107,92654419
"street_motorway";140684760,686707
"street_other_elevated";1642344,17794275
"street_primary";78078482,1462402
"street_secondary";79917754,3162193
"street_tertiary";104157049,605465
"street";1136387489,69022
"street_track";8118207,70977056
"street_tunnel";376313,698486328
