"category";"total"
"grand_total_t_10m2";2241258906,23904
"building_commercial_industrial";273348111,412215
"building_commercial_innercity";20393261,1015491
"building_highrise";5750843,85472488
"building_lightweight";52071160,2452595
"building_multifamily";25881924,9550776
"building_singlefamily";568173441,880578
"building_skyscraper";5662655,3984375
"building";951281316,021437
"other_airport";29143823,5989838
"other_parking";42860666,7354736
"other_remaining_impervious";181225803,040948
"other";253230316,006055
"rail_bridge";1374756,18325806
"rail_other";1357061,92112732
"rail_railway";60833221,4293213
"rail_subway_elevated";0
"rail_subway_surface";0
"rail_subway";0
"rail";65277498,5995636
"rail_tram";28149,9208984375
"rail_tunnel";1684431,73052979
"street_bridge_motorway";5613796,58349609
"street_bridge_other";6082533,86220551
"street_local";575161165,798931
"street_motorway_elevated";1500622,94177246
"street_motorway";118623399,729004
"street_other_elevated";1282850,0500946
"street_primary";58336084,9157104
"street_secondary";96630774,813385
"street_tertiary";68715139,0888977
"street";971468284,00003
"street_track";37253008,8338726
"street_tunnel";2269618,30192566
