"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1166448775.76948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",64934773.7619877,17351883.7326999,26.8164831023823,577577.332518905,0,1965693.71240479,22794.0205053571,204696.254216265,0,39293004.1413078,7993.90427898918,1330616.89529014,109493.170666333,4032810.79460466,0,38185.8299517697
"building_commercial_innercity",1134605.41577911,63921.0567736626,2126.14766152948,11181.8258915842,1173.87511457317,129719.735645533,4221.81146102771,164.550963841146,241055.277688742,561035.25762701,7.39970432443806,3863.24849399552,1817.66084388644,42558.6511390805,16352.8438144475,55405.8214649558
"building_highrise",408949.365600586,7729.2670507431,189.325067430735,102.608028501272,0,30506.5531730652,813.737461447716,1170.61976265907,0,336544.68170166,0,941.555243015289,342.486290156841,25678.5255813599,572.678512692451,4357.3472328186
"building_lightweight",10442735.669348,0,183115.01879517,292315.419219635,0,1350939.47080407,0,0,0,6469874.802158,0,100608.221939176,63132.1089271335,958410.476436496,0,1024338.40589844
"building_multifamily",1403642.51801682,79077.9919868708,2630.29930435866,13833.2566679418,1452.22399836034,160478.84026432,5222.88768729568,203.569286143407,298214.264349461,694067.944464684,9.15432160039199,4779.30093321949,2248.6634988524,52650.1498411894,20230.4260341823,68543.6391189694
"building_singlefamily",149968411.112694,30349783.2016001,1864488.08763802,3092482.03899407,0,16817219.7320132,463027.891220346,66440.0934111867,20355599.8462973,62146696.6019192,49249.9938469026,770295.29229252,616543.005053669,1059859.93106261,3833840.54643357,8482896.72080207
"building_skyscraper",89848.4765625,0,0,58.0786666870117,0,2400.58447265625,522.707946777344,0,0,76263.734375,0,2381.22534179688,0,8222.146484375,0,0
"building",228382989.864288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",18079022.4716797,14703587.2841797,0,0,0,0,0,182597.984321594,0,3192838.83813477,0,0,0,0,0,0
"other_parking",6839688.96898651,6703948.83187485,0,0,0,0,0,135740.506121397,0,0,0,0,0,0,0,0
"other_remaining_impervious",55174212.4819031,54079208.9645405,0,0,0,0,0,1094988.00653204,0,0,0,0,0,0,0,0
"other",80092909.0109253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1005312.79312134,0,0,0,0,0,0,0,0,76779.7049760818,0,0,0,928533.150924683,0,0
"rail_other",1161174.60359192,75488.5575070381,0,0,0,0,0,0,0,1051448.6186676,1887.20528067648,0,0,32352.1547634602,0,0
"rail_railway",60066007.9964905,56761497.4734497,0,0,0,0,0,0,0,353764.877791762,0,0,0,1212817.27325678,0,1737865.56671906
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",1232246.8046875,0,0,0,0,0,0,0,0,1187482.70556641,0,0,0,44768.0242576599,0,0
"rail",63464766.2584534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",3132564.70849609,0,0,0,0,0,0,0,0,2910959.97949219,0,0,0,221604.450469971,0,0
"street_bridge_other",2679970.77479553,0,0,0,0,0,0,0,0,2425238.00600433,0,0,0,254732.829318762,0,0
"street_local",490847506.823021,475367566.750034,0,0,0,0,0,5439493.08319551,0,10039043.1039963,0,0,0,0,0,0
"street_motorway",122900998.984131,99954671.3969727,0,0,0,0,0,1241299.90001297,0,21704916.6296082,0,0,0,0,0,0
"street_motorway_elevated",833830.727294922,792139.223632812,0,0,0,0,0,41691.5312423706,0,0,0,0,0,0,0,0
"street_other_elevated",565225.105593681,536963.907679081,0,0,0,0,0,28261.2618945837,0,0,0,0,0,0,0,0
"street_primary",7988269.75,7009384.203125,0,0,0,0,0,110809.655944824,0,868056.056640625,0,0,0,0,0,0
"street_secondary",86381896.5159912,78384870.7013855,0,0,0,0,0,1227332.76887512,0,6769091.30712128,0,0,0,0,0,0
"street_tertiary",27097181.9110031,25386241.9943008,0,0,0,0,0,378053.771549225,0,1332996.47352076,0,0,0,0,0,0
"street_track",51002809.8211024,50682171.4038036,0,0,0,0,0,112669.311238837,0,207941.142379644,0,0,0,0,0,0
"street_tunnel",1077996.02947998,0,0,0,0,0,0,0,0,1038832.44702148,0,0,0,39163.9953403473,0,0
"street",794508024.068717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
