"category";"total"
"grand_total_t_10m2";5085899215,95951
"building_commercial_industrial";671488942,685951
"building_commercial_innercity";125057533,874771
"building_highrise";22839240,2142334
"building_lightweight";133382861,063897
"building_multifamily";548392513,615905
"building_singlefamily";1524134320,87008
"building_skyscraper";14793665,5742188
"building";3040088196,3539
"other_airport";19662344,0324707
"other_parking";60148401,3675265
"other_remaining_impervious";405538753,440846
"other";485349501,15154
"rail_bridge";4304563,69539642
"rail_other";1611576,12667847
"rail_railway";115298414,714096
"rail_subway_elevated";1046674,70605469
"rail_subway_surface";408454,078125
"rail_subway";6892714
"rail";133491917,776733
"rail_tram";502060,665283203
"rail_tunnel";3427581,27651978
"street_bridge_motorway";19707743,1899414
"street_bridge_other";11420093,2187042
"street_local";760776410,424839
"street_motorway_elevated";5267140,94784546
"street_motorway";279865760,983765
"street_other_elevated";2408580,10469055
"street_primary";61393334,3535233
"street_secondary";113403821,576508
"street_tertiary";161718263,692528
"street";1426969615,87387
"street_track";6139729,20256907
"street_tunnel";4868813,13679504
