"category","total"
"grand_total_t_10m2",2102040455.14578
"building_commercial_industrial",221347193.885794
"building_commercial_innercity",4909169.03925705
"building_highrise",824006.954760551
"building_lightweight",45386998.6142869
"building_multifamily",16154496.149559
"building_singlefamily",430876968.329253
"building_skyscraper",52933.84765625
"building",719552320.607835
"other_airport",25750941.3774414
"other_parking",6524435.64321899
"other_remaining_impervious",147568538.418438
"other",179843939.19627
"rail_bridge",1418632.92428589
"rail_other",734607.478485107
"rail_railway",96278540.341423
"rail_subway_elevated",0
"rail_subway_surface",0
"rail_subway",0
"rail",98645842.0025558
"rail_tram",0
"rail_tunnel",214058.838989258
"street_bridge_motorway",7255597.37347412
"street_bridge_other",7405513.63485336
"street_local",742979403.187916
"street_motorway_elevated",1934540.33657837
"street_motorway",123950394.71582
"street_other_elevated",1561877.02921581
"street_primary",45973635.614563
"street_secondary",89188635.6743317
"street_tertiary",75344652.7077332
"street",1103998799.21512
"street_track",7968541.10617936
"street_tunnel",437041.95010376
