"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1015137788.04893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",63469990.3285522,16960452.9680176,26.2115599525569,564547.914697886,0,1921351.05666161,22279.8183884323,200078.726686001,0,38406620.6598206,7813.57524304837,1300600.39920139,107023.156905353,3941837.26417351,0,37324.4256414473
"building_commercial_innercity",839105.177827835,47273.2545360327,1572.40758787841,8269.59778355062,868.147596389055,95935.126206398,3122.27119986713,121.694822219899,178274.098433018,414917.600436211,5.47250294494734,2857.09208709002,1344.26363006793,31474.5528492928,12093.8579616249,40975.7535122037
"building_highrise",504806.242393494,9540.99104809761,233.702467612922,126.659142185003,0,37657.2251205444,1004.47581680119,1445.01053512096,0,415430.078918457,0,1162.25396448374,422.7643430233,31697.5188884735,706.913133077323,5378.70061272383
"building_lightweight",8476919.46702576,0,148644.21395427,237287.862722874,0,1096628.50492382,0,0,0,5251942.21163559,0,81669.0288184881,51247.6748544574,777992.998225689,0,831509.782784939
"building_multifamily",2430430.76738739,136924.908872873,4554.4091605274,23952.5243959203,2514.55153820571,277871.843897283,9043.51926055551,352.48375353642,516363.22208631,1201790.98790717,15.8508639855827,8275.44264425524,3893.60132364742,91164.6674381495,35029.3271340281,118684.475577563
"building_singlefamily",129364708.901001,26180118.5649796,1608331.5584259,2667615.81677341,0,14506750.2504959,399413.806265473,57312.0756130815,17558995.5400543,53608535.1694336,42483.6434901506,664466.680335999,531838.134592056,914249.011573553,3307120.38182259,7317456.04978752
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",205085954.634949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",14587149.0986328,11863658.6645508,0,0,0,0,0,147330.048660278,0,2576159.20422363,0,0,0,0,0,0
"other_parking",2102465.36322021,2060740.15020752,0,0,0,0,0,41725.5253329277,0,0,0,0,0,0,0,0
"other_remaining_impervious",61769484.9121231,60543622.7506315,0,0,0,0,0,1225877.47837846,0,0,0,0,0,0,0,0
"other",78459107.121962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",577893.522720337,0,0,0,0,0,0,0,0,44136.008149147,0,0,0,533757.519302368,0,0
"rail_other",73442.9050750732,4774.55743312836,0,0,0,0,0,0,0,66502.8600769043,119.364146173,0,0,2046.23730182648,0,0
"rail_railway",67489924.8417053,63776958.7289429,0,0,0,0,0,0,0,397488.903042674,0,0,0,1362716.32658005,0,1952656.60487556
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",29360.3332519531,0,0,0,0,0,0,0,0,28293.6625366211,0,0,0,1066.67109298706,0,0
"rail",68170618.41539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",696720.8984375,0,0,0,0,0,0,0,0,647433.362792969,0,0,0,49287.554473877,0,0
"street_bridge_other",1734692.52309036,0,0,0,0,0,0,0,0,1569808.90795326,0,0,0,164883.552104592,0,0
"street_local",406026110.826036,393222608.672794,0,0,0,0,0,4499058.01502857,0,8303382.43224156,0,0,0,0,0,0
"street_motorway",63958489.1740723,52017257.8994141,0,0,0,0,0,645981.536273956,0,11295369.3284302,0,0,0,0,0,0
"street_motorway_elevated",185571.510375977,176292.938110352,0,0,0,0,0,9278.5751953125,0,0,0,0,0,0,0,0
"street_other_elevated",365859.078572273,347566.170703888,0,0,0,0,0,18292.9586096257,0,0,0,0,0,0,0,0
"street_primary",36146433.8337059,31717145.6359797,0,0,0,0,0,501405.584498852,0,3927881.30536509,0,0,0,0,0,0
"street_secondary",55312404.6581573,50192274.5208626,0,0,0,0,0,785893.384375572,0,4334439.19184637,0,0,0,0,0,0
"street_tertiary",54483085.6720734,51043211.4872589,0,0,0,0,0,760136.621700048,0,2680211.17077923,0,0,0,0,0,0
"street_track",44426165.5108356,44146848.152462,0,0,0,0,0,98127.0226112083,0,181101.729945432,0,0,0,0,0,0
"street_tunnel",86394.6212158203,0,0,0,0,0,0,0,0,83255.858795166,0,0,0,3138.7457780838,0,0
"street",663421975.859373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
